Me_ID,Me_sn,ID,Screen_name,Followers_count,Friends_count
57082583,tobias_blanke,868301766785413120,HelenaRae,9,77
57082583,tobias_blanke,254865613,AlexWermerColan,2176,2344
57082583,tobias_blanke,824723708602437632,DilanCkr,79,539
57082583,tobias_blanke,1324242489511800833,shivshaktighosh,2,79
57082583,tobias_blanke,3284766308,inge_stegeman,93,376
57082583,tobias_blanke,94292452,ullahdhude,66,343
57082583,tobias_blanke,4162410142,anwagnerdreas,991,1728
57082583,tobias_blanke,788827729,ChapBookPro,1531,1807
57082583,tobias_blanke,748532262,MingshuWang,289,468
57082583,tobias_blanke,1368213558761295873,Zehui_Y,30,433
57082583,tobias_blanke,929624569111040000,KMalik0990,34,2142
57082583,tobias_blanke,567678624,dennmis,1250,2843
57082583,tobias_blanke,537443449,mar__isi,17,338
57082583,tobias_blanke,1425457614155026434,SBrkhrdt,11,87
57082583,tobias_blanke,58138044,Sxander,442,579
57082583,tobias_blanke,2979719464,AnastasiaSiap,517,773
57082583,tobias_blanke,78583449,damian0604,2182,1497
57082583,tobias_blanke,63159632,armanes,1205,1111
57082583,tobias_blanke,982289417393004544,yuliia_kazmina,21,117
57082583,tobias_blanke,87419607,dariorodighiero,2100,1414
57082583,tobias_blanke,1549053890,TamarMegiddo,777,1178
57082583,tobias_blanke,1330966865963782148,MeerLucas,63,175
57082583,tobias_blanke,268905535,mlealcauston,88,586
57082583,tobias_blanke,1374583569088135169,nalbanlu,42,214
57082583,tobias_blanke,39468943,fabianmoss,1119,2442
57082583,tobias_blanke,720695600,coffee_partner,13,146
57082583,tobias_blanke,3367682589,baloyuna,1439,2601
57082583,tobias_blanke,64472672,TimelessFuture,327,424
57082583,tobias_blanke,1389560172398448644,popnet_research,186,167
57082583,tobias_blanke,905678545,Woodynist,208,525
57082583,tobias_blanke,1410572257311744000,MDankloff,26,121
57082583,tobias_blanke,26716249,stinelomborg,1256,806
57082583,tobias_blanke,1278492234845843456,imatargetoo,2290,3521
57082583,tobias_blanke,515529131,JoTayl0r0,2989,3012
57082583,tobias_blanke,50466686,rensbod,2768,924
57082583,tobias_blanke,366561788,Kaiping_Chen,1498,1961
57082583,tobias_blanke,2869079393,SophusLai,234,321
57082583,tobias_blanke,65883051,askebos,330,334
57082583,tobias_blanke,1124084161051078657,BlaxillLuke,423,384
57082583,tobias_blanke,17941291,jorisvanhoboken,4557,1937
57082583,tobias_blanke,930539844,dpauschinger,814,2970
57082583,tobias_blanke,902178887672758273,lpflorentino,128,590
57082583,tobias_blanke,1159505135011356675,IcdsUva,594,101
57082583,tobias_blanke,3306825820,FaizIkramulla,175,3185
57082583,tobias_blanke,1320686621877035009,uva_dsc,200,50
57082583,tobias_blanke,1139046304892575745,ch_starke,545,582
57082583,tobias_blanke,1198659479866396673,JusDigitale,111,781
57082583,tobias_blanke,794187708,LidiaDutkiewicz,329,2157
57082583,tobias_blanke,20357764,mdermentzi,655,857
57082583,tobias_blanke,786857745098084352,Marta_Marchiori,139,813
